"beta","gamma","rho","psi","pop","S_0","E_0","I_0","R_0","sigma","loglik","loglik.se"
0.604630247245453,0.586085516870792,0.928575569702609,0.5486731189219,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.567574168252,0.245453217084452
0.832759071708399,0.759407695643422,0.856660546736781,0.731673516323481,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.636047625221,0.318572735740136
0.840947742452536,0.85900505091582,0.809140039622206,0.603886652367637,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.679944012048,0.292261895098207
0.917510247857311,0.836287805493675,0.865301081614372,0.743194508682438,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.695620934678,0.188276569554944
0.834003153966989,0.719421095312184,0.907489285254808,0.536339278573249,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.864458799215,0.653782062777728
0.818606140420633,0.82169876413294,0.826909232911785,0.738875372114306,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.975113854123,0.203478489994778
0.760409779185029,0.826298646258703,0.922323824442112,0.785799275093882,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.995161782026,0.326476038428948
0.879214724999642,0.74776526872783,0.777810241007415,0.801407086065508,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-240.165960076579,1.01075938594388
0.823864295742509,0.875810895846468,0.815368880239371,0.585807348989599,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-240.20794173855,0.246705014964362
0.676227066595477,0.722661591670905,0.881898057283233,0.578805462381057,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-240.237829767405,0.244571850009709
0.945536780134446,0.758619040996642,0.956102939152097,0.535642950962281,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-240.320783223153,0.557329274827731
0.772736276017308,0.642603163807804,0.89033774431928,0.525834192145932,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-240.365616024936,0.513379299426707
0.589236407168042,0.531120340292263,0.945958232276194,0.668321276287971,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-240.444024207629,0.25918319104867
0.729883616123184,0.647303533765018,0.858391789249062,0.545542384541462,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-240.474838620617,0.432818773283099
0.737890856231217,0.669858341708891,0.776272033905922,0.7319957645055,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-240.795573753045,0.405201273503936
0.674410751825601,0.618871215550182,0.812925904699478,0.743816886959007,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-241.127192834851,0.58928498782343
0.951716580568674,0.702223243281514,0.922314794863752,0.637365483878069,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-241.215480232163,0.672684600244745
0.661789130145789,0.607794035144151,0.787671107238098,0.702159747874201,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-241.516340506903,0.266692774325514
0.970908761954194,0.880754850456163,0.746349657947837,0.933208519819879,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-241.53758742883,0.199449877108725
0.5751114018291,0.453468202070956,0.962422263871403,0.639183157642769,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-242.282138654783,0.183379538581451
1.00381834948088,0.827629456147807,0.976076105811578,0.305354690659039,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-242.791367464731,0.641058881525015
0.511652928213077,0.638641787576781,0.924746902924679,0.620825456152629,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-243.587901879516,0.817149169256561
0.97948004614767,0.838232906502062,0.572077334932359,0.949293177881457,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-243.836103227966,0.246318814059648
1.37514962398459,0.937230471544998,0.974052034442859,0.445634730641945,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-246.506962136692,0.397603575255203
0.859017015538289,0.679676008841915,0.986479038816998,0.264106879955384,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-247.240102819466,0.7172707698452
1.03769974143842,0.943445552910136,0.53719430472993,0.415592356001099,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-247.916708290242,0.642434281584591
1.0429235173078,0.941545371865815,0.632002999851198,0.107601588043263,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-251.28144114807,1.65525246482683
57.4622055079694,0.000344927560096708,0.428799483016591,1.11415430379114,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-264.79797572255,0.524444487408356
7.4855974387812,0.800172521527349,0.0700908198192725,1.37371813650405,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-322.33992822588,0.303725619833671
4.67784371945394,0.722508950000136,0.0448987538772249,1.09456921211025,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-326.357265865332,1.01417246895646
3.08960535733432,0.773296763279876,0.0339041927990444,0.89090390070189,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-338.876762655508,4.48890710753253
2.4098429187226,0.000232942288177896,0.591470523799331,1.35849122957753,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-344.647832108162,4.49654285074064
1.75950286746719,0.00061206880913846,0.172638722174406,2.44603145074561,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-364.940001256448,15.0547463937075
2.01694939148154,0.000388267972389591,0.407112822167388,0.0121562079737146,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-430.117912254799,6.80003196286374
0.000946049254119718,0.614326231311467,0.692841398592871,0.0367843881069818,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-2948.56275793005,0.457401041857101
